"","date","48074PC051000JGe","63154PC021000FGe","63154PC021000JGe","63154PC031000JGe","63154PC042000JGe","63154PC070200JGe","63154PC091500FGe","63154PC091500JGe","63154PT021000JGe","63154PT091500JGe","900207PC010200JBe","900207PC020500JBe","900207PC021000JBe","900207PC091500JBe","903291PC021000JBe","903291PC091500JBe","903291PT021000JBe","903291PT091500JBe","907521PC021000JIb","907521PC042000JIb","907521PC051000JIb","907521PC070200JIb","907521PC070250NIb","907664PC041000JIS","907664PC042000JIS","908244PC060250AIS","908244PC060500AIS","908244PT080500AIS","908244PT080500PIS","908244PT080750PIS","908244PT081000AIS","908244PT081000PIS","908616PC031000AIb","909702PC081000AIS","909702PC081000JIS","915306PC051000AIS","915306PC060250AIS","915306PC060500AIS","915306PC070150AIS","915306PC070250AIS","920814PC060200FIb","920814PC060350FIb","920814PC060375FIb","922361PC051000FIb","922361PC060300FIb","922361PC060375FIb","922361PC060400FIb","922361PC060500FIb","922361PC070250FIb","922361PC070300FIb","922361PE060300FIb","922361PE060500FIb","922975PC051000FIb","922975PC070250FIb","922975PC070300FIb","922975PC070350FIb","923313PC041500JIS","923313PC042000JIS","923313PC060300FIS","923313PC060500FIS","923313PC070200JIS","923313PC070250JIS","923313PC070330JIS","923313PE060250FIS","923313PE060300FIS","923313PE060350FIS","923313PE060500FIS","923313PT021000JIS","923313PT070250JIS","923313PT070330JIS","923608PC060250FIb","924267PC010200AIb","924267PC031000AIb","924267PC042000AIb","924267PC051000AIb","924267PC080500AIb","924267PC081000AIb","924267PC091500AIb","924454PC030500FIS","924454PC030750FIS","924454PC031000JIS","924454PC041500FIS","924454PC042000FIS","924454PC050750FIS","924454PC051000FIS","924454PC060250FIS","924454PC060300FIS","924454PC060375FIS","924454PC060400FIS","924454PC060500FIS","924454PE060300FIS","924454PE060400FIS","924454PE060500FIS","924597PC050500FIb","924597PC051000AIb","924597PC051000FIb","924597PC051000JIb","925857PC051000AIb","925857PC051000JIb","926866PC060200FIb","926866PC060500FIb","927272PC091500JIb","928488PC031000AIb","928488PC051000AIb","928488PC051000FIb","928717PC051000FNo","928717PC060300FNo","928717PC060500FNo","928717PE060300FNo","928717PE060500FNo","928972PC021000JNo","928972PC021000NNo","930971PC042000AIS","930971PC051000AIS","930971PC051000PIS","930971PC070250AIS","930971PC070250JIS","930971PT020500AIS","930971PT021000AIS","931056PC050500FIS","931056PC051000FIS","931056PC060500FIS","931166PC031000JIS","93333PC021000JGe","93333PC042000JGe","93333PC070200JGe","93333PC070250JGe","93333PC091500JGe","93333PC091500NGe","93333PM101000JGe","950248PC031000JNo","950248PC070200JNo","950248PC091500JNo","950267PC031000NIS","950267PC081000NIS"
"11",201411,0,86.7,393.3,1781.7,0,14243.25,54.48,3952.08,620.1,0,6968.96,0,2121,5545.2,2052.6,5949.6,454.2,915.12,2032.2,184,1082.88,5071.5,0,0,3097.25,756.75,299.88,0,0,0,0,0,4389.6,0,0,561.6,1428,891,0,0,52.36,839.46,486.2,4222.5,1541.56,142.8,65.28,1738.08,1204.96,0,0,0,5475.6,221,8326.6,0,177,374,382.84,322.32,0,904.13,360,189.38,698.36,0,145.18,444.3,228,0,4335.68,3388.16,10421.7,192,3718.4,206.92,604.24,2179.68,199.8,0,420.9,0,0,0,1048.2,0,0,1790.78,0,1817.64,0,0,0,0,535.36,0,0,1930.24,0,784.7,0,0,14091.9,22416.64,104.4,1560.9,1263.1,732.36,0,0,1472.7,0,1336.5,1350.4,422.07,0,0,293.4,1511.4,5051.52,393.3,0,942.9,4348.2,1822.25,3706.13,994.13,2768.64,452.64,668.92,3034.5,835.13,195.6,862.8,16.8
"12",201412,0,0,546.6,3068.4,0,18360.75,0,5206.56,1329,0,7699.84,0,2289.3,6840.96,3255.6,9117.12,1075.5,1080.72,1980,99,760.32,5253.75,626.63,0,2804.25,536.25,0,55.16,0,0,77,142.5,6335.1,0,0,0,1807.13,132.84,0,409.5,275.06,1382.44,784.72,3624.6,1125.06,336.6,146.88,1968.6,1192.72,974.78,0,0,10750.8,857.82,11953.72,0,84.75,87.25,0,0,0,220.5,882.75,0,386.92,0,-145.18,296.1,224.25,0,4377.5,4636.16,19971,287.25,7958.4,549.92,2081.24,3468.24,458.7,78.9,0,0,0,0,323.7,0,0,996.2,0,1019.32,0,0,0,0,0,0,78.4,1864.32,0,167.65,0,0,17366.7,24609.92,364.2,1953.9,225.08,527,0,0,1495.8,0,1323.25,1974.08,479.16,0,0,144,1205.7,5512,0,0,0,3302.4,813.75,3003.75,973.13,4778.4,273.36,864.36,3787.8,3195.75,4.56,947.1,568.12
"13",201501,0,72.3,511.5,2494.5,0,20595.75,0,2363.76,937.2,0,8810.24,0,3155.7,8619.12,1021.8,3652.56,441.6,393.84,2058.9,363.75,995.84,4001.25,13.5,0,340.25,0,0,0,0,0,74.2,74.7,4753.5,0,0,0,1393.13,0,0,0,104.72,1457.92,733.72,3398.1,1772.76,0,67.32,2254.54,3165.74,1492.94,0,0,2914.5,1094.8,4333.64,43.18,192,415.75,164.56,151.3,460.88,877.5,883.5,0,2838.32,142.8,383.52,1014.9,0,0,5707.92,2867.84,18043.8,183.75,3202.24,486.64,2566.76,1646.88,189.9,228.9,0,0,0,0,508.8,401.54,84.66,3546.2,1497.36,2725.44,399.16,0,149.26,0,232,106.24,0,1240.96,0,0,0,113.76,15924,23244.8,56.7,1720.2,309.06,734.4,0,0,2282.1,145.8,1153,1551.36,441.87,0,0,192,1415.1,1856.32,0,0,741,3361.8,197,5374.5,0,2879.28,136.56,1635.76,789,865.13,544.32,0,0
"14",201502,0,72,420.9,2361,0,14554.5,92.16,2940.24,831.6,168.48,7644.8,0,2307.6,5846.88,1515.9,5725.68,563.7,875.28,2390.4,176.75,1521.92,3270,662.25,0,2420.5,663.75,0,0,0,0,0,0,6340.2,0,0,0,3492.38,0,235.5,472.13,233.24,1422.9,336.6,2057.7,1150.22,183.94,168.3,1482.4,2302.82,919.02,0,0,1972.5,476.34,3937.88,0,101.25,557.25,1227.74,287.3,0,162,534,379.78,1850.96,0,0,355.5,0,175.5,5870.78,2561.92,13886.1,516,4487.68,378.28,1865.64,3316.32,218.7,495.6,187.2,77,0,0,78.3,0,0,0,147.56,765,0,0,0,0,156.48,179.2,0,1866.88,0,193.2,0,56.16,17376.3,22140.16,75.6,1875,301.24,236.64,0,0,456.9,0,1221,667.52,400.95,0,0,96,1335.6,4627.2,0,0,97.2,4144.8,903.25,3926.63,1316.25,2964,558.24,1125.6,4260,3112.13,848.64,671.4,0
"15",201503,0,37.5,708.3,2975.1,0,18897.75,0,5331.84,540.6,0,7371.52,0,2456.7,6158.64,1966.2,6741.36,704.4,835.92,2170.2,357.46,939.52,6947.63,0,167,1784.01,997.5,449.28,0,0,0,405.72,149.7,5303.7,0,0,2256,4283.63,728.64,663.38,712.13,157.08,897.6,821.44,1664.1,1039.04,103.02,106.42,1824.78,2892.04,1325.32,0,0,2382.9,687.82,1584.06,1626.56,221.75,458.26,591.6,298.18,231.38,562.5,1190.25,359.72,3406.46,147.9,227.8,1278.9,455.25,177.75,5819.78,3625.6,16175.4,267.8,8041.28,508.2,1738.24,3896.88,320.7,0,304.2,0,96.43,279,297.9,95.2,199.24,1048.22,1043.46,453.56,390.66,0,0,92.48,552.32,157.44,67.84,1234.88,0,202.65,299.54,118.32,17966.1,21990.4,176.4,1512.3,164.56,682.04,0,0,2010.9,0,1365.07,1283.84,332.64,0,0,327.6,1217.1,7050.56,232.2,0,259.8,5746.5,572,5755.88,0,4158,252.24,1128.12,2991.9,3318,1517.76,0,0
"16",201504,0,38.7,752.7,2504.7,0,19775.25,55.68,6198.48,396.6,115.2,10904.96,0,2439.6,7689.12,2003.1,6779.04,652.8,1128.48,3333.9,533.26,1074.24,3990.75,287.63,0,1854.84,397.5,0,0,0,0,154.56,1919.4,5309.4,0,0,0,3367.13,567,0,0,104.72,187,299.2,720.9,1252.9,113.9,33.66,1314.78,3072.58,513.06,0,0,1785.3,871.76,535.84,4635.9,0,369.2,361.08,119.68,0,493.13,528.38,90.1,0,0,0,662.7,0,69,5867.72,3042.56,18489.6,341.9,5354.24,470.68,2291.8,3339.6,323.1,0,0,66,0,185.4,77.4,386.92,218.28,2109.7,0,447.78,0,0,0,0,156.48,153.6,72.32,1240.64,0,0,455.26,0,17937,23271.04,202.5,1464.9,366.18,304.64,0,0,854.1,143.7,1094.34,1269.12,404.91,0,0,144,1527,5539.84,94.5,0,726,4115.1,2266.16,4114.5,1140,4156.56,219.6,2232.72,2448.9,3119.25,642.48,82.8,543.48
"17",201505,0,72,821.1,2735.1,0,16750.88,46.08,6367.44,393,0,7434.88,0,2677.8,5186.88,1689.6,5777.76,574.5,650.64,2642.7,258.44,1090.24,5877,372,0,2869.1,0,0,0,0,0,0,642,6366.9,0,0,0,1359,0,0,0,0,1177.42,1540.54,1994.1,919.36,74.46,33.66,542.64,1045.84,0,0,0,2416.8,530.4,753.1,1249.16,118.5,485.68,38.42,154.36,0,732.38,1218,598.74,609.96,0,145.86,779.4,232.13,68.25,5630.4,2091.52,8888.1,171.34,1787.52,233.52,1780.52,2143.44,0,0,288.9,25.5,0,0,516.9,0,91.8,2694.16,410.72,1641.18,751.74,0,0,0,312.96,0,0,1847.68,0,0,0,352.32,11337.3,21401.28,151.2,694.8,205.7,198.9,0,0,976.8,0,1071.06,708.8,213.84,0,0,326.1,1462.8,1593.28,189,0,0,2756.4,2710.24,2698.5,975,4931.04,159.36,1223.6,2444.1,1938,758.88,0,0
"18",201506,0,0,1154.1,1974.3,0,21517.88,0,6256.32,536.7,117.84,7480.96,0,2936.4,8292,3037.5,7412.4,508.2,1361.76,2690.7,114.92,1752,5992.13,568.88,121.75,3874,502.5,435.6,0,0,0,340.48,4.2,3731.7,0,0,1700.8,3277.13,1035.72,454.5,1695,289,1894.14,1549.38,2134.5,965.94,187,218.28,1334.16,771.8,0,0,0,4181.1,1148.18,577.32,4320.04,128.5,556.4,0,0,0,429,337.5,0,195.84,0,296.14,1091.4,225.75,0,5848.34,1761.28,12535.2,215.28,1834.56,169.68,1227.24,2591.28,97.2,0,448.2,23.75,146.64,0,1236.3,0,180.2,3602.3,0,3499.62,0,0,0,0,232.64,150.4,0,1775.68,77.12,396.9,0,58.08,10011,16823.04,37.8,1149.3,469.54,354.62,0,0,2346,74.4,1015.16,1147.84,408.66,0,0,89.7,1135.8,2774.72,0,0,174.9,4440,1226.42,5614.5,1049.25,3357.84,278.4,1204.28,1731.3,2376.38,513.6,952.5,393.96
"19",201507,0,90,725.1,2602.8,0,15813.38,0,5854.8,532.5,103.68,9235.2,0,2070,8396.64,2374.2,7269.29,515.4,1396.56,2646.6,650,1403.52,7357.5,0,0,1000.22,992.63,9.36,106.4,0,0,0,3740.7,6859.5,0,0,576,1752.75,315,0,549,158.1,860.2,37.4,3480,1992.06,228.48,33.66,1090.04,943.5,0,0,0,2775.9,783.36,682.72,1846.54,140.25,352.82,0,396.44,239.25,405,876.75,0,970.36,0,0,875.4,0,0,4437.34,3686.4,16641.9,229.58,5231.36,860.44,2551.64,2678.64,0,0,329.7,340.25,1140.09,3898.2,1040.1,569.5,401.88,1591.88,5191.12,1987.98,0,0,299.2,0,157.76,0,0,1230.4,0,204.4,448.46,0,15729.6,18598.4,210.6,1541.4,82.28,346.8,0,0,796.5,209.4,1116.38,1245.44,245.7,0,0,207,1424.7,3194.24,336.3,0,660,5147.1,790.4,5680.13,984.75,4286.4,340.8,1094.8,2816.7,3438.75,306.48,566.7,114.24
"20",201508,0,57.3,843.6,3229.8,0,14700.75,0,5681.52,593.7,0,7136.64,0,2256.3,6245.52,2151,4667.28,647.1,653.28,1363.5,106.34,1029.76,4642.13,0,0,3012.62,622.88,0,0,0,0,44.52,2080.2,2602.5,0,0,0,998.25,128.52,0,124.5,176.46,598.4,1383.8,4114.5,1377.34,112.2,67.32,2901.22,760.58,0,0,0,3032.7,832.32,578.34,2620.72,227.25,524.16,190.4,296.14,0,933.38,708.75,0,1966.9,0,592.28,818.7,259.88,181.5,5834.4,2680.96,11904.3,187.2,5040.32,675.92,1498.28,1763.04,1202.7,0,174.6,219,187.46,0,956.1,0,784.04,2622.08,8883.18,8592.82,2369.46,1629.62,1493.62,0,311.68,77.76,0,1253.12,0,399,0,114.72,12625.2,19931.84,56.7,2086.5,362.1,301.24,0,0,963,15,894.12,1231.36,360.32,0,0,156.3,1226.7,5174.4,309.6,1959.42,0,5692.2,1470.3,4945.88,1051.13,4007.52,278.4,564.48,2997,1832.63,374.88,0,0
"21",201509,0,70.8,347.4,3500.4,0,13774.5,23.04,5360.4,366.6,0,7564.16,0,3274.5,6787.92,2652,7220.64,485.1,902.64,1080.3,299.78,1041.28,3739.5,672.75,0,3475.16,160.88,285.12,111.16,0,0,421.68,1049.1,5287.8,0,0,576,2814.38,0,0,0,209.44,1250.52,221.68,5597.4,1394.68,255.68,80.58,1755.42,820.76,0,0,0,9532.2,532.78,960.84,6771.78,143.75,463.84,196.86,172.04,231.38,467.63,762,145.86,2096.1,0,144.5,716.1,292.5,0,4406.06,2657.28,10453.2,335.66,2566.72,510.44,1324.12,2341.68,1114.5,162.6,0,133.75,91.78,183.9,2014.8,0,0,0,1313.76,1832.6,189.72,12.58,4.42,0,159.04,0,0,1233.6,0,0,0,117.36,13743,15257.6,168,1652.1,551.14,472.94,0,0,1447.5,0,1300.72,892.8,383.04,0,0,387.9,1328.1,7317.12,132.3,0,347.4,5067.6,961.74,4743,0,3314.4,155.52,1128.96,2342.1,1603.5,401.04,635.7,567.56
"22",201510,0,142.2,678,1527.6,0,13638,72,5037.21,373.2,0,6867.84,0,2568,7729.98,1321.8,4582.79,576.9,898.65,1468.5,297.7,820.48,3308.63,0,0,1331.98,393,7.92,0,0,0,299.9,1362,6857.1,0,0,0,1276.5,597.96,0,473.25,104.72,1234.2,223.04,5175.9,2308.6,222.36,188.02,2947.8,889.44,0,0,0,9085.5,442,1561.96,9821.92,0,481.52,201.28,23.96,0,474,258.75,242.08,778.94,137.7,292.74,662.7,186.38,0,5829.3,3792.64,12932.1,346.84,3564.8,595.86,2086.12,2794.18,178.2,0,0,0,0,0,1378.5,0,89.76,293.42,0,2282.82,0,0,295.8,0,230.08,0,0,1283.52,0,0,129.2,0,16775.1,23084.8,292.8,2990.1,808.52,1139.68,0,0,1912.2,0,1172.86,1576.96,382.72,0,0,191.4,1374.6,4349.12,178.2,987.36,688.8,6636.3,1825.98,6260.25,1338,2231.28,111.6,1949.36,4167.3,1566.38,201.78,82.2,491.7
