"","date","950272PC080500FIS","950272PC091500NIS","950294PC050500FIb","950294PC051000AIb","950294PC051000FIb","950294PC051000JIb","950294PC070250FIb","950294PC070300FIb","950554PC020500AIb","950554PC021000AIb","950554PC031000AIb","950554PC070200AIb","950554PT070200AIb","950554PT070250AIb","950574PC051000JNo","950978PC091500JBe","951063PC030500AIb","951063PC030500FIb","951063PC031000AIb","951063PC031000FIb","951063PC031100AIb","951163PC020500JIS","951163PC021000JIS","951203PC010250JIS","951203PC021000JIS","951203PC030500FIS","951203PC070250FIS","951203PC070250JIS","951203PT021000JIS","951220PC051000NIb","951278PC070250JNo","951643PC042000FNo","951643PC050500FNo","951643PC051000FNo","951643PC060300FNo","951643PC060400FNo","951643PC060500FNo","951829PC031000AIb","951829PC091500AIb","951953PC050500AIS","951953PC051000AIS","952026PC010150JBe","952026PC010200JBe","952026PC010250ABe","952026PC010250JBe","952026PC031000JBe","952026PC051000JBe","952026PC081000JBe","952026PC091500JBe","952026PT081000JBe","952028PC051000ABe","952028PC051000FBe","952028PC051000JBe","952028PC060500FBe","952029PC050500FBe","952029PC050750FBe","952029PC051000FBe","952063PC021000JNo","952160PC070150JBe","952160PC070200JBe","952211PC030500AGe","952211PC030750AGe","952211PC031000AGe","952297PC031000JNo","952297PC042000JNo","952297PT020500JNo","952297PT021000JNo","952339PC021000JNo","952429PC031000JIb","952429PC042000JIb","952429PC070200JIb","952429PC081000JIb","952429PC091500JIb","952448PC021000JNo","952448PC042000JNo","952554PC010200JIb","952554PC031000AIb","952554PC031000JIb","952554PC091500JIb","952566PC030500AIS","952566PC031000AIS","952570PC060200FIS","952570PC060250FIS","952570PC060400FIS","952570PC060500FIS","952573PC051000AIS","952700PC050500AIS","952700PC051000AIS","952700PC051000FIS","952753PA060300RGe","952753PH060300RGe","952753PH060400RGe","952764PT070200AGe","952764PT070350FGe","952913PA060400RIS","952913PA060500RIS","952913PE060300FIS","952913PE060375FIS","952913PE060500FIS","952913PH060200RIS","952913PH060300RIS","952913PH060400RIS","952913PH060500RIS","952918PT070200ANo","952918PT070300ANo","952918PT070350ANo","952944PC042000JNo","952944PT021000JNo","952980PC031000JNo","952980PC042000JNo","953065PC010200AGe","953065PC030500AGe","953065PC031000AGe","953065PC050500AGe","953065PC050750AGe","953065PC051000AGe","953065PC060200AGe","953065PC060350AGe","953065PC060500AGe","953065PC060500FGe","953065PC070200AGe","953065PC070250AGe","953065PC070330FGe","953065PT070200AGe","953065PT070200FGe","953065PT070250AGe","953065PT070330AGe","953068PC030500AGe","953068PC031000AGe","953072PC031000AIb","953082PC031000AIb","953148PM100500JIS","953148PM100750JIS","953148PM101000JIS","953250PC030500ANo"
"11",201411,0,1147.92,181.76,0,3464.4,921.92,234.94,1787.04,645.6,1429.8,6474.6,0,0,0,0,541.44,0,0,8332.8,999.9,0,0,826.2,2645.12,0,0,227.25,945.75,1716.9,77.76,459,0,367.68,0,190.4,141.78,557.26,2069.4,746.64,0,0,0,9619.84,0,5435.52,15801,3732.16,4260.48,2298.72,394.24,424,1101.44,0,1568.08,886.4,184.32,1361.6,0,295.88,3006.75,0,0,0,1490.7,1915,252.6,4108.2,1032.9,610.2,1213.5,3886.5,1442.28,1628.88,134.1,229,7256.96,0,881.7,4777.68,0,0,0,0,0,715.36,236.48,0,0,156.6,591.75,0,0,0,0,329.63,41.25,0,0,0,0,0,0,0,839.25,3942.75,769.88,0,8335.8,995.1,2598.75,6519.04,287.7,4306.2,4173.44,0,622.4,1972.88,4370.25,606.96,886.38,8623.13,514.88,0,0,348,0,141.75,0,7387.2,0,0,0,0,0,5626.8
"12",201412,0,1171.68,0,0,2043.9,157.76,1308.66,615.06,744.3,4849.2,11362.5,0,0,0,154.88,843.12,0,391.8,18782.7,578.4,0,0,338.1,6958.72,116.1,0,231.38,107.25,1357.2,201.6,0,0,0,0,0,304.3,298.86,8827.5,4400.4,0,0,915.2,17224.32,0,10369.92,14290.5,4772.8,9082.08,3192,549.92,40.32,755.2,0,1712.58,759.68,0,891.2,0,0,1579.88,0,0,0,2227.8,2816.25,0,11031.6,0,1481.4,620.5,3952.88,1518.72,1268.88,170.1,233,16401.28,0,2978.4,6534.24,0,0,0,0,0,452.88,345.92,185.28,308.8,153.3,2692.5,0,0,123.75,0,2156.63,534.38,0,0,0,0,0,0,0,1261.5,402.75,1443,0,1925.4,1035.6,5219.75,6830.72,292.2,5704.2,3262.4,0,1955.2,3299.25,3395.63,1058.04,0,9163.88,0,354.28,730.88,234,0,0,0,5714.4,0,0,0,0,0,1266.3
"13",201501,0,1192.56,0,0,5314.5,1314.24,2311.66,1202.92,749.7,1976.1,4117.8,0,0,0,156.48,1474.32,0,0,16629,247.5,0,0,1017.3,474.88,0,284.4,0,0,822.9,307.2,231,95.25,526.72,76.5,0,168.3,0,1164.6,0,0,0,0,3872,0,2954.24,7929.6,1486.08,4113.76,1087.68,177.52,273.28,1504.96,0,1884.28,1173.44,0,632.64,0,400.5,3705.75,0,0,165.9,1223.4,1589.25,195,411.6,370.2,1222.2,937.25,7387.13,1286.04,1363.44,0,0,6294.4,0,219.9,4462.56,0,0,0,0,297.16,1154.3,0,0,213.76,0,0,0,0,122.63,0,1760.63,1650.38,0,0,0,0,0,0,0,234,1009.5,1279.88,0,6801.3,1002.6,985.5,8595.2,653.1,7648.8,2826.24,0,619.96,3360,3932.75,784.8,1540.88,11612.63,273,0,0,175.5,0,0,0,4197.3,0,0,0,0,0,3970.8
"14",201502,0,623.04,0,0,4086,517.76,1599.36,1574.88,1609.2,2906.4,11412.6,0,0,0,395.52,770.64,293.4,0,1653.9,329.7,0,0,489,480.64,0,0,220.88,1605,1724.7,237.12,669,234.5,621.76,0,199.92,294.44,597.72,5204.4,1199.04,0,0,698.88,6285.44,0,3377.28,7401.3,1575.36,4015.76,1387.68,102.76,426.56,1036.48,0,1193.74,348.48,0,1234.24,0,213.75,3357.38,0,0,0,3007.8,2326.25,435.6,1722.3,0,1259.7,1110,4177.5,2346.68,1678.56,29.7,120,7411.88,0,633.3,2508.24,0,0,0,200.26,0,288.32,76.8,0,251.84,0,1561.88,0,0,346.88,0,7533,406.5,0,0,0,0,0,0,0,1503.38,4761.38,1253.25,0,5835.9,1541.1,1952.24,8186.24,358.8,5329.2,2281.28,0,839.36,1606.5,4381.13,538.2,193.46,6924,195,0,0,951.38,0,0,0,5048.7,0,0,0,0,0,1820.54
"15",201503,0,604.08,0,0,1935.3,773.76,465.46,662.66,1386.3,2615.7,7895.4,0,0,0,154.88,662.64,0,0,1281.6,81.6,0,0,942.6,0,0,508.2,0,712.5,3248.4,0,1669.88,524.07,81.6,0,0,0,0,5847,0,0,465.92,572.8,8518.4,0,5276.8,14153.4,3432.32,5441.8,1796.4,294.56,332.16,1651.52,0,846.6,928.64,87.68,1011.84,0,185.25,3649.88,0,0,0,2662.8,3134.72,505.2,2701.8,0,1244.4,1769.98,6592.88,4005.68,1263.12,0,72.25,7133.44,0,1710.3,4366.56,0,0,0,0,448.12,2086.24,0,0,77.12,74.4,2215.5,0,0,0,343.13,3264.3,1113.75,0,0,0,0,0,0,0,0,4569.38,195,0,6793.2,1581,4683.63,7877.76,431.4,7486.5,4954.24,0,1593.92,2001.38,7071.38,1247.04,296.82,9386.25,492.75,119.34,0,58.5,0,0,729,7248.6,0,0,0,0,0,2366.7
"16",201504,0,1146.24,0,0,856.5,939.2,1178.44,1481.04,0,2634,7586.1,0,0,0,157.12,859.92,0,87,8623.8,991.8,0,0,529.2,2407.04,210,0,240.38,2420.25,2627.1,384.64,0,396.76,268.16,74.7,0,140.76,424.66,4680.3,380.16,0,0,0,7693.44,0,4588.8,10496.4,3317.76,4808.44,2164.56,257.32,255.68,1778.56,0,856.12,1029.12,0,1143.36,0,246,4863.75,0,0,322.5,1834.2,2292.14,228.9,2771.1,0,434.7,1259.18,4117.5,1522.64,1338,0,20,10119.68,0,1377.3,6699.6,0,522.3,0,0,0,900.32,246.4,0,78.4,69.3,1128.68,0,0,119.25,359.63,5637.45,3499.3,0,0,0,0,0,0,0,873.38,5582.63,1177.5,0,7299,498.9,2358.68,9464.32,290.4,8533.2,1603.84,0,907.52,1241.25,3385.88,624.96,449.82,7939.88,195,177.82,0,242.63,0,0,656.7,9117,0,0,0,0,0,3865.8
"17",201505,0,930,0,0,1084.8,318.08,232.56,0,891,1951.5,10929,0,0,0,155.2,1133.52,0,0,5614.5,220.2,0,0,1107,4295.68,338.1,0,238.88,1068,2273.1,220.8,929.63,48.62,269.44,0,0,286.62,148.58,1591.2,2491.68,0,0,350.08,14528,0,7061.76,12892.8,1743.36,6091.4,2099.76,394.52,60.48,591.68,0,952,940.8,0,311.68,0,236.25,3053.25,0,0,0,925.8,3090.36,367.8,2858.4,0,1063.8,725.92,5422.5,1078.84,1060.08,271.8,74.62,8400,0,1297.2,5139.36,103.8,5758.5,0,200.94,0,1698.64,232.32,78.72,303.36,0,541.8,0,0,0,0,7206.75,860.65,0,0,0,0,0,0,0,0,1998.75,351,0,5795.4,527.1,2351.66,9856,48.3,8243.1,964.8,0,1262.4,1501.13,5776.88,1403.64,388.96,8828.25,406.88,55.42,0,241.13,292.5,0,291.6,5301.3,0,0,0,0,0,1334.4
"18",201506,0,1302.96,0,0,2158.2,1071.36,476.34,708.22,653.4,3039.3,8779.5,0,0,0,155.84,1162.32,278.4,585.6,4994.1,323.1,130.2,0,463.8,6741.12,54.9,0,0,627.38,4368.6,0,0,49.4,0,0,0,145.86,0,2778.6,380.16,0,0,600.32,12478.08,0,6330.24,12752.1,3271.68,6346.2,2481.12,248.92,289.92,494.72,0,701.08,607.36,0,466.88,0,409.5,4815.38,0,0,170.7,3207.3,1854.84,0,3255.3,495.6,950.1,1583.92,5469.75,2036.16,1739.52,0,0,9150.72,0,1772.7,5241.36,106.8,8355.3,0,0,445.06,1196.12,0,0,0,0,2311.13,0,0,0,541.13,4632.13,1533.7,0,0,0,0,0,0,0,254.25,3758.63,569.63,0,4868.4,994.2,1678.87,4752,141.9,10868.1,2368.64,0,1574.4,3601.88,4698,720.72,219.3,8287.88,422.63,358.7,0,244.5,179.63,0,558.9,6769.2,0,0,0,0,0,3364.5
"19",201507,0,997.2,0,0,1431,619.2,471.92,706.52,433.5,1428.9,7305.9,0,0,0,159.68,1148.4,0,0,5254.8,335.1,182.1,0,522.9,0,0,0,0,0,0,0,0,287.56,681.28,174.3,180.88,301.92,887.4,5690.7,1862.88,259.2,0,1012.48,10548.48,0,6940.8,14898,2532.48,6192.76,2113.68,292.04,151.04,353.6,0,199.92,867.84,0,699.2,0,0,715.88,0,0,0,2151.6,1119.04,72,4212.9,549.6,786,1209.78,5202,1111.88,864.24,0,0,12058.24,0,1447.8,7178.4,750,9297.6,0,0,0,596.02,0,0,391.68,0,1604.75,0,0,0,385.88,14078.05,1566.6,0,0,0,0,0,0,0,0,1861.13,351,0,4860,513.6,2370.42,5954.56,476.4,9807,4328.32,0,760.96,3032.63,6154.5,1370.52,283.56,7120.13,190.13,0,454.5,406.13,97.5,0,97.2,8144.4,0,0,0,0,0,2816.4
"20",201508,0,1334.64,92.8,0,2385.9,304.32,240.04,1851.3,0,2905.2,9884.7,0,0,0,154.24,778.08,0,0,2817.3,998.1,0,0,306.6,2917.76,0,0,0,0,2814.6,310.4,0,0,517.12,457.8,389.98,296.48,0,2546.1,626.4,271.04,237.12,640.64,7699.2,0,8824.32,10840.8,2880,5598.88,2893.68,248.08,362.24,1616.64,0,945.54,454.72,0,623.68,445.2,511.13,2551.88,0,0,0,1900.2,1599,1030.8,4558.2,725.1,1206,1217.84,5836.88,1684.2,1222.32,180,180.9,9718.4,0,1905,7160.64,314.4,7872.6,0,0,1204.28,882.64,157.76,0,236.16,75.6,758.45,0,0,2158.5,156,8094.1,138.25,0,0,0,0,0,0,0,457.88,4578.38,376.88,508.3,4099.8,1546.2,2016.53,5501.44,192.3,8667.6,2354.88,0,1028.16,2173.26,4355.25,1245.24,239.36,7881.38,0,39.78,117,589.88,134.25,0,0,7143.9,0,0,0,0,0,2569.2
"21",201509,0,998.64,0,0,5892.6,998.4,1840.76,3140.24,1733.4,1964.7,7327.5,0,0,0,156.48,383.04,293.1,0,5224.5,573,0,0,660.3,2565.76,477.6,794.7,240.75,1493.63,4294.8,0,29.63,0,242.24,320.1,0,1193.4,587.18,2630.1,1114.08,0,0,66.56,7454.72,0,5930.88,15399.9,2664.32,6509.44,2546.64,271.88,275.52,1291.84,0,1467.78,626.24,0,1326.72,0,230.63,1685.25,0,0,0,2295.3,1704.3,0,4756.8,0,534.6,1233.7,3984.75,1495.48,572.88,0,149.5,13156.48,0,1548.3,5405.76,0,12458.7,0,0,554.2,2657.1,512,0,247.36,0,0,0,0,1680.75,0,2932.65,0,0,0,0,0,0,0,0,290.63,4783.88,1040.25,936,6910.2,3164.7,2015.52,9201.28,170.1,8694.3,398.08,0,1680.96,3558.38,4912.88,1018.44,361.08,7673.25,267,129.2,70.13,298.5,0,0,0,6127.8,0,0,0,0,0,1457.1
"22",201510,0,1506.09,0,0,6023.7,233.28,827.9,2492.2,1652.1,2891.4,5778.9,0,0,0,167.04,1142.49,0,0,11921.1,466.2,382.8,0,595.5,4956.8,0,750,0,708.38,2473.8,459.52,472.5,98.54,361.6,307.8,0,0,0,4951.2,1944.56,0,234.88,219.52,7984,0,6239.36,12869.1,2719.68,4086.9,2248,373.24,626.56,841.6,0,1551.76,653.44,159.36,1430.4,974.4,136.5,2408.25,0,0,32.4,1869.6,2771.34,547.8,7560,0,519.3,1238.9,3294.75,953.4,225.75,264,24.18,12247.68,0,1015.8,2555.77,369.9,9549.9,0,0,0,0,0,0,173.76,0,299.25,0,0,639,0,3243.18,1664.25,0,0,0,0,0,0,0,713.25,939,732.75,1414.14,3730.2,2130.6,1692.86,6414.08,342.3,8050.8,2903.36,0,1280.64,3256.48,6608.63,1618.92,751.4,10769.25,555.38,0,241.13,678,0,180,267.3,5455.5,0,0,0,0,0,2529.9
"23",201511,0,631.9,0,0,3950.7,767.04,1838.38,3842.34,0,1951.2,4648.8,0,0,0,0,767.19,0,0,11561.7,510,-2.4,0,430.8,1879.04,163.2,0,0,1871.25,2476.2,0,471,0,165.44,146.7,0,433.84,859.86,1864.2,0,0,0,659.84,10664.96,0,5275.52,12792,3099.2,6545.2,1827.24,231.42,371.2,1026.24,0,1721.42,736.64,349.12,1760.32,489,229.88,2299.5,0,0,78,1750.5,2326.74,0,4810.5,291.9,875.7,1536.86,2821.13,1660.74,1879,217.5,0,9991.68,0,1103.7,3296.02,11.1,8603.7,0,0,0,890.8,0,0,77.76,78,313.6,0,0,1930.5,0,10388.35,1951.25,0,0,0,0,0,0,0,723.75,1631.63,1346.63,1610.7,6948,4779.9,2387.58,10412.16,239.1,7063.2,1595.84,2.24,1200.64,2740.5,5647.5,1279.44,1025.78,11682.75,309.75,159.12,243,349.13,0,0,510.3,6080.7,0,0,0,0,0,2294.4
"24",201512,0,931.35,0,0,2442,424.32,1920.32,1339.26,1219.2,2613.6,7795.2,0,0,0,387.84,772.5,290.1,0,13191.6,483.9,0,0,650.7,1440.64,119.1,306.3,475.5,699,3831.6,155.84,0,189.8,0,0,0,0,28.9,2671.8,393.5,0,0,1201.92,12732.8,0,8739.84,14591.4,2809.92,7422.64,2433.91,393.7,190.08,1077.44,0,1858.78,460.8,0,709.76,421.8,136.5,760.5,0,0,78.3,2334.9,3338.66,961.8,4784.4,0,1667.7,1878.76,8868,1053,2219.25,0,0,9970.56,0,745.5,4402.33,196.5,7888.2,0,0,426.02,1038.02,471.36,0,369.6,0,2667.23,0,0,138.38,0,302.05,792.05,0,0,0,0,0,0,0,857.25,3949.5,935.63,384.8,6287.4,4028.1,5930.34,12735.36,281.7,5935.2,2528.32,0,1660.16,1426.13,7833.75,959.4,299.2,11432.63,48.75,101.32,352.13,641.63,0,0,527.7,6560.7,0,0,0,0,0,5354.4
