"Report.ID","Arrest.Date","Time","Area.ID","Area.Name","Reporting.District","Age","Sex.Code","Descent.Code","Charge.Group.Code","Charge.Group.Description","Arrest.Type.Code","Charge","Charge.Description","Address","Cross.Street","Location"
180112893,"2018-05-01",1610,1,"Central",158,54,"F","H",17,"Liquor Laws","M","25620BP","OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE","5TH","GLADYS                       AV","(34.0421, -118.2405)"
180112894,"2018-05-01",1520,1,"Central",157,59,"M","B",17,"Liquor Laws","M","25620BP","OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE","6TH","SAN PEDRO                    ST","(34.0417, -118.2443)"
180112895,"2018-05-01",950,1,"Central",158,73,"F","B",17,"Liquor Laws","M","25620BP","OPEN ALCOHOLIC BEV IN PUBLIC PARK/PLACE","7TH","KOHLER                       ST","(34.0372, -118.2418)"
180112897,"2018-05-01",1300,1,"Central",182,20,"M","H",17,"Liquor Laws","M","25662BP","MINOR POSSESS ALCOHOL","12TH                         ST","OLIVE","(34.0398, -118.2627)"
180112898,"2018-05-01",1520,1,"Central",148,58,"M","B",20,"Disorderly Conduct","M","41.18ALAMC","LOITER/OBSTRUCT STREET/SIDEWALK/ETC","GLADYS","CENTRAL","(34.0429, -118.2397)"
180409243,"2018-05-01",1500,4,"Hollenbeck",411,43,"F","H",NA,"","I","41.27(C)LAM","","AVENUE 18","BARRANCA","(34.0747, -118.2244)"
180509784,"2018-05-01",820,5,"Harbor",566,60,"F","B",NA,"","M","63.44(A)26L","","7TH                          ST","BEACON                       ST","(33.7378, -118.2804)"
180509785,"2018-05-01",820,5,"Harbor",566,50,"M","W",20,"Disorderly Conduct","M","41.18DLAMC","SIT/LIE/SLEEP SIDEWALK OR STREET","9TH                          ST","PALOS VERDES                 ST","(33.736, -118.2814)"
180509862,"2018-05-01",1200,5,"Harbor",513,48,"F","W",24,"Miscellaneous Other Violations","M","602(K)PC","TRESPASSING LANDS UNDER CULTIVATION","1300    PACIFIC COAST                HY","","(33.7896, -118.2994)"
180809795,"2018-05-01",1930,8,"West LA",842,59,"M","H",18,"Drunkeness","M","41.27CLAMC","DRINKING IN PUBLIC","WILSHIRE","BARRY","(34.0501, -118.4601)"
180809796,"2018-05-01",1940,8,"West LA",842,61,"M","H",18,"Drunkeness","M","41.27CLAMC","DRINKING IN PUBLIC","BARRY","WILSHIRE","(34.0501, -118.4601)"
180809797,"2018-05-01",1945,8,"West LA",842,44,"M","W",18,"Drunkeness","M","41.27CLAMC","DRINKING IN PUBLIC","BARRY","WILSHIRE","(34.0501, -118.4601)"
180910207,"2018-05-01",300,9,"Van Nuys",906,22,"M","H",16,"Narcotic Drug Laws","M","11364HS","POSSESSION CNTL SUBSTANCE PARAPHERNALIA","VAN NUYS                     BL","SHERMAN                      WY","(34.2012, -118.4487)"
180910307,"2018-05-01",1015,9,"Van Nuys",916,55,"M","W",NA,"","M","63.4426(D)","","HARTLAND","WOODMAN","(34.1976, -118.4356)"
181109766,"2018-05-01",1920,11,"Northeast",1162,45,"M","H",16,"Narcotic Drug Laws","M","11364(A)HS","POSS DEVICE/INSTRUMT/PARAPHERNALIA","4500    LEXINGTON                    AV","","(34.0935, -118.2866)"
181109775,"2018-05-01",1215,11,"Northeast",1109,32,"F","H",16,"Narcotic Drug Laws","M","11377HS","POSSESSION CONTROLLED SUBSTANCE","COLORADO","WIOTA","(34.1384, -118.1926)"
181109850,"2018-05-01",930,11,"Northeast",1189,19,"M","H",20,"Disorderly Conduct","M","647(H)PC","DISORD CONDUCT:LOITER/ETC PRIV PROPERTY","3500    PASADENA                     AV","","(34.0862, -118.2174)"
181109851,"2018-05-01",1330,11,"Northeast",1169,37,"M","H",18,"Drunkeness","M","41.27(C)LAM","DRINKING IN PUBLIC***","200 S  AVENUE 50","","(34.1038, -118.2013)"
181311091,"2018-05-01",1215,13,"Newton",1333,38,"M","H",18,"Drunkeness","M","41.27CLAMC","DRINKING IN PUBLIC","MAPLE                        AV","30TH                         ST","(34.0203, -118.2674)"
181510410,"2018-05-01",1500,15,"N Hollywood",1545,39,"F","H",18,"Drunkeness","M","41.27CLAMC","DRINKING IN PUBLIC","TIARA","LANKERSHIM","(34.1649, -118.3921)"
181510412,"2018-05-01",2230,15,"N Hollywood",1548,46,"M","B",18,"Drunkeness","M","41.27CLAMC","DRINKING IN PUBLIC","5200    LANKERSHIM                   BL","","(34.1649, -118.3746)"
181510472,"2018-05-01",1515,15,"N Hollywood",1596,26,"M","H",NA,"","I","41.18(D)LAM","","10800    VENTURA                      BL","","(34.1387, -118.3658)"
181510476,"2018-05-01",1210,15,"N Hollywood",1503,57,"M","W",24,"Miscellaneous Other Violations","M","41.45(C)LAM","ILLEGAL POSSESSION OF SHOPPING CART****","SHERMAN                      WY","LAUREL CANYON                BL","(34.2006, -118.3965)"
181510480,"2018-05-01",1100,15,"N Hollywood",1502,39,"F","B",NA,"","I","63.44(B)26(","","STRATHERN","HOLLYWOOD                    FY","(34.2158, -118.4084)"
181510483,"2018-05-01",950,15,"N Hollywood",1502,34,"M","A",NA,"","I","63.44(B)26(","","SATICOY","HOLLYWOOD                    FY","(34.2111, -118.4106)"
181510486,"2018-05-01",910,15,"N Hollywood",1502,25,"F","H",NA,"","I","63.44B26(D)","","SATICOY","HOLLYWOOD                    FY","(34.2111, -118.4106)"
181510487,"2018-05-01",845,15,"N Hollywood",1502,40,"M","H",NA,"","I","41.45(C)","","WHITSETT","SATICOY","(34.205, -118.4061)"
181510488,"2018-05-01",1305,15,"N Hollywood",1547,46,"M","W",NA,"","I","63.44(B)24L","","MAGNOLIA","TUJUNGA","(34.1649, -118.379)"
181510489,"2018-05-01",915,15,"N Hollywood",1502,28,"F","H",NA,"","I","63.44B26(D)","","SATICOY","HOLLYWOOD                    FY","(34.2111, -118.4106)"
181510490,"2018-05-01",930,15,"N Hollywood",1502,36,"F","W",NA,"","I","66.44B26(D)","","SATICOY","HOLLYWOOD                    FY","(34.2111, -118.4106)"
181510491,"2018-05-01",800,15,"N Hollywood",1525,47,"M","O",NA,"","I","41.18DLAMC","","LANKERSHIM","CALIFA","(34.1826, -118.3916)"
181510492,"2018-05-01",900,15,"N Hollywood",1502,29,"M","H",NA,"","I","63.44B26(D)","","SATICOY","HOLLYWOOD                    FY","(34.2111, -118.4106)"
181510493,"2018-05-01",1030,15,"N Hollywood",1502,30,"F","H",NA,"","I","63.44B26(D)","","STRATHERN","HOLLYWOOD                    FY","(34.2158, -118.4084)"
181510494,"2018-05-01",930,15,"N Hollywood",1502,41,"F","H",NA,"","I","63.44B26DLA","","SATICOY","HOLLYWOOD                    FY","(34.2111, -118.4106)"
181510499,"2018-05-01",830,15,"N Hollywood",1502,44,"M","H",NA,"","I","63.44B26DLA","","SATICOY                      ST","HOLLYWOOD                    FY","(34.2111, -118.4106)"
181510500,"2018-05-01",1100,15,"N Hollywood",1502,43,"M","H",NA,"","I","63.44BS6DLA","","STRATHERN","HOLLYWOOD                    FY","(34.2158, -118.4084)"
181510501,"2018-05-01",1400,15,"N Hollywood",1547,59,"M","W",NA,"","M","63.44(B)24L","","MAGNOLIA","TUJUNGA","(34.1649, -118.379)"
181709979,"2018-05-01",2055,17,"Devonshire",1791,22,"F","H",6,"Larceny","M","459.5PC","SHOPLIFTING","20100    ROSCOE                       BL","","(34.2244, -118.5804)"
181710098,"2018-05-01",2030,17,"Devonshire",1745,27,"M","H",18,"Drunkeness","M","41.27CLAMC","DRINKING IN PUBLIC","KINGSBURY","GENESTA","(34.2636, -118.5045)"
181710099,"2018-05-01",2120,17,"Devonshire",1709,19,"M","H",24,"Miscellaneous Other Violations","M","41.24ALAMC","TRESPASS ON PVT PROP W/SIGN POSTED","15600    ODYSSEY                      DR","","(34.2829, -118.4712)"
181710100,"2018-05-01",2120,17,"Devonshire",1709,24,"M","H",24,"Miscellaneous Other Violations","M","41.24ALAMC","TRESPASS ON PVT PROP W/SIGN POSTED","15600    ODYSSEY                      DR","","(34.2829, -118.4712)"
181710102,"2018-05-01",2145,17,"Devonshire",1709,23,"M","W",24,"Miscellaneous Other Violations","M","41.24ALAMC","TRESPASS ON PVT PROP W/SIGN POSTED","15600    ODYSSEY                      DR","","(34.2829, -118.4712)"
181710103,"2018-05-01",2145,17,"Devonshire",1709,17,"F","W",24,"Miscellaneous Other Violations","M","41.24ALAMC","TRESPASS ON PVT PROP W/SIGN POSTED","15600    ODYSSEY                      DR","","(34.2829, -118.4712)"
181710104,"2018-05-01",2145,17,"Devonshire",1709,20,"M","H",24,"Miscellaneous Other Violations","M","41.24ALAMC","TRESPASS ON PVT PROP W/SIGN POSTED","15600    ODYSSEY                      DR","","(34.2829, -118.4712)"
181710105,"2018-05-01",2145,17,"Devonshire",1709,21,"F","H",24,"Miscellaneous Other Violations","M","41.24ALAMC","TRESPASS ON PVT PROP W/SIGN POSTED","15600    ODYSSEY                      DR","","(34.2829, -118.4712)"
182109825,"2018-05-01",1750,21,"Topanga",2133,36,"M","W",16,"Narcotic Drug Laws","M","11364HS","POSSESSION CNTL SUBSTANCE PARAPHERNALIA","7100    WOODLAKE                     AV","","(34.1987, -118.6321)"
182109858,"2018-05-01",2045,21,"Topanga",2146,25,"M","H",NA,"","M","10415(B)LAM","","21500    SHERMAN                      WY","","(34.201, -118.599)"
182109859,"2018-05-01",1625,21,"Topanga",2146,23,"M","B",NA,"","M","104.15BLAMC","","21500    SHERMAN                      WY","","(34.201, -118.599)"
182109860,"2018-05-01",1625,21,"Topanga",2146,24,"F","B",NA,"","M","104.15BLAMC","","21500    SHERMAN                      WY","","(34.201, -118.599)"
182109861,"2018-05-01",1625,21,"Topanga",2146,37,"M","O",NA,"","M","104.15BLAMC","","21500    SHERMAN                      WY","","(34.201, -118.599)"
182109908,"2018-05-01",1340,21,"Topanga",2107,40,"M","H",NA,"","M","25620(A)BP","","20900    ROSCOE                       BL","","(34.2234, -118.5932)"
182109909,"2018-05-01",1444,21,"Topanga",2144,41,"M","W",NA,"","M","25620(A)BP","","22600    VANOWEN                      ST","","(34.1937, -118.6192)"
5299298,"2018-05-01",16,14,"Pacific",1494,24,"M","H",22,"Driving Under Influence","M","23152(B)VC","DRUNK DRIVING .10 OR ABOVE","IMPERIAL                     HY","CALIFORNIA                   AV","(33.942, -118.4095)"
5299310,"2018-05-01",135,6,"Hollywood",645,26,"M","B",23,"Moving Traffic Violations","M","14601.1B2VC","DRIVE PRIV SUSPEND/REVKD AFTER PRIOR OFFN","SUNSET","HIGHLAND","(34.098, -118.3405)"
5299314,"2018-05-01",55,9,"Van Nuys",909,29,"M","W",24,"Miscellaneous Other Violations","M","602(M)PC","DRIVE ON PRIVATE PROPERTY W/O CONSENT","13600    RUNNYMEDE                    ST","","(34.2062, -118.4299)"
5299319,"2018-05-01",5,1,"Central",156,36,"M","H",23,"Moving Traffic Violations","M","14601.1AVC","DRIVE W/LIC SUSPEND/REVOKE 4 OTHER REASON","5TH                          ST","SAN PEDRO","(34.0442, -118.2439)"
5299336,"2018-05-01",135,16,"Foothill",1622,41,"F","H",10,"Fraud/Embezzlement","F","530.5(A)PC","GET CREDIT/ETC OTHER'S ID","SAN FERNANDO","VAN NUYS","(34.2661, -118.4221)"
5299342,"2018-05-01",254,19,"Mission",1902,67,"M","O",22,"Driving Under Influence","M","23152(A)VC","DRUNK DRIVING ALCOHOL/DRUGS","SAN DIEGO                    FY","MORAGA","(34.3196, -118.4561)"
5299350,"2018-05-01",246,15,"N Hollywood",1586,21,"M","H",22,"Driving Under Influence","M","23152(A)VC","DRUNK DRIVING ALCOHOL/DRUGS","VENTURA                      BL","VENTURA                      FY","(34.1425, -118.3643)"
5299367,"2018-05-01",340,12,"77th Street",1211,43,"M","W",24,"Miscellaneous Other Violations","M","594(B)(1)PC","VANDALISM W/LOSS VALUED EQ OR > $400/10000","5700    BRYNHURST                    AV","","(33.9909, -118.3333)"
5299368,"2018-05-01",520,6,"Hollywood",644,19,"M","W",7,"Vehicle Theft","F","487(D)(1)PC","GRAND THEFT AUTO/HORSE/ETC","FOUNTAIN","FORMOSA","(34.0944, -118.3462)"
5299369,"2018-05-01",315,1,"Central",119,25,"M","O",8,"Other Assaults","M","243(A)PC","BATTERY ON PERSON","800 N  ALAMEDA                      ST","","(34.0563, -118.2374)"
5299408,"2018-05-01",430,9,"Van Nuys",914,23,"M","H",22,"Driving Under Influence","M","23152(A)VC","DRUNK DRIVING ALCOHOL/DRUGS","SEPULVEDA","SHERMAN                      WY","(34.2012, -118.4662)"
5299412,"2018-05-01",630,6,"Hollywood",663,33,"M","B",16,"Narcotic Drug Laws","M","11364(A)HS","POSS DEVICE/INSTRUMT/PARAPHERNALIA","SANTA MONICA","LAS PALMAS","(34.0907, -118.3363)"
5299323,"2018-05-01",15,11,"Northeast",1183,38,"M","H",16,"Narcotic Drug Laws","M","11377(A)HS","POSSESSION CONTROLLED SUBSTANCE","ALVARADO","MONTANA","(34.0832, -118.2572)"
5299346,"2018-05-01",230,18,"Southeast",1823,39,"M","H",4,"Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","400 E  98TH                         ST","","(33.9473, -118.2673)"
5299386,"2018-05-01",255,9,"Van Nuys",941,47,"M","H",4,"Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","14900    OXNARD                       ST","","(34.1794, -118.4574)"
5299331,"2018-05-01",102,16,"Foothill",1656,32,"F","W",22,"Driving Under Influence","M","23152(A)VC","DRUNK DRIVING ALCOHOL/DRUGS","10200    SUNLAND                      BL","","(34.2601, -118.3372)"
5299356,"2018-05-01",155,3,"Southwest",359,39,"M","H",4,"Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","400 W  38TH                         ST","","(34.0158, -118.2822)"
5299424,"2018-05-01",745,9,"Van Nuys",935,36,"M","O",24,"Miscellaneous Other Violations","F","182(A)(1)PC","CONSPIRACY TO COMMIT ANY CRIME","14400    ERWIN STREET MALL","","(34.1837, -118.4465)"
5299432,"2018-05-01",715,21,"Topanga",2126,42,"M","W",12,"Weapon (carry/poss)","F","30305(A)1PC","ILLEGAL POSSESSION OF AMMUNITION","8000    FAIRCHILD                    AV","","(34.2156, -118.5874)"
5299434,"2018-05-01",840,14,"Pacific",1458,44,"M","W",16,"Narcotic Drug Laws","M","11377(A)HS","POSSESSION CONTROLLED SUBSTANCE","12300    CULVER                       BL","","(33.9984, -118.415)"
5299444,"2018-05-01",750,9,"Van Nuys",952,39,"M","H",23,"Moving Traffic Violations","M","14601.2AVC","DRIVE W/LIC SUSPEND/REVOKE 4 DRUGS/ALCOHL","BURBANK","NOBLE","(34.1721, -118.4618)"
5299474,"2018-05-01",815,9,"Van Nuys",948,27,"M","H",16,"Narcotic Drug Laws","M","11364(A)HS","POSS DEVICE/INSTRUMT/PARAPHERNALIA","SUNNYSLOPE","COLLINS","(34.174, -118.4268)"
5299476,"2018-05-01",1010,9,"Van Nuys",935,45,"M","W",23,"Moving Traffic Violations","M","20001(A)VC","HIT AND RUN CAUSING INJURY/DEATH","14400    ERWIN                        ST","","(34.1837, -118.4465)"
5299491,"2018-05-01",1025,9,"Van Nuys",935,39,"F","H",8,"Other Assaults","M","242PC","BATTERY ON NONCOHABITATING FORMER SPOUSE","14400    ERWIN STREET MALL","","(34.1837, -118.4465)"
5299492,"2018-05-01",1030,9,"Van Nuys",935,29,"M","W",23,"Moving Traffic Violations","M","20002(A)VC","HIT AND RUN:PROP DAMAGE","14400    ERWIN                        ST","","(34.1837, -118.4465)"
5299502,"2018-05-01",1040,9,"Van Nuys",935,32,"M","H",23,"Moving Traffic Violations","M","20002(A)VC","HIT AND RUN:PROP DAMAGE","14400    ERWIN                        ST","","(34.1837, -118.4465)"
5299510,"2018-05-01",740,19,"Mission",1987,29,"M","H",24,"Miscellaneous Other Violations","M","466PC","POSSESSION BURGLARY TOOLS","8400    BARDWELL                     AV","","(34.2228, -118.4303)"
5299512,"2018-05-01",1030,16,"Foothill",1622,40,"M","H",22,"Driving Under Influence","M","23152(E)VC","DUI OF ANY DRUG","FIELDING                     ST","HADDON                       AV","(34.2685, -118.4364)"
5299515,"2018-05-01",930,7,"Wilshire",742,35,"F","H",22,"Driving Under Influence","M","23152(B)VC","DRUNK DRIVING .10 OR ABOVE","SAN VICENTE","FAIRFAX                      AV","(34.06, -118.3636)"
5299528,"2018-05-01",45,21,"Topanga",2136,35,"M","B",3,"Robbery","F","211PC","ROBBERY","7400    ALABAMA                      AV","","(34.2047, -118.599)"
5299541,"2018-05-01",820,5,"Harbor",526,64,"F","W",16,"Narcotic Drug Laws","M","11377(A)HS","POSSESSION CONTROLLED SUBSTANCE","300 W  ANAHEIM                      ST","","(33.7799, -118.265)"
5299507,"2018-05-01",915,15,"N Hollywood",1548,35,"M","W",8,"Other Assaults","F","422(A)PC","TERRORIZE CAUSING FEAR","LANKERSHIM","BURBANK","(34.1667, -118.3702)"
5299532,"2018-05-01",850,1,"Central",158,38,"M","B",16,"Narcotic Drug Laws","F","11360(A)HS","TRANSPORT/SELL/FURNISH/ETC MARIJUANA","7TH                          ST","KOHLER                       ST","(34.0372, -118.2418)"
5299450,"2018-05-01",830,3,"Southwest",396,54,"M","B",4,"Aggravated Assault","F","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","VERMONT                      AV","41ST                         DR","(34.0083, -118.2915)"
5299503,"2018-05-01",800,7,"Wilshire",763,38,"M","W",14,"Sex (except rape/prst)","M","290.011BPC","FAIL REG GAIN/LV RESID","5500 W  PICO                         BL","","(34.0497, -118.3595)"
5299551,"2018-05-01",1145,9,"Van Nuys",935,51,"M","H",22,"Driving Under Influence","M","23152(A)VC","DRUNK DRIVING ALCOHOL/DRUGS","14400    ERWIN                        ST","","(34.1837, -118.4465)"
5299557,"2018-05-01",1150,1,"Central",127,29,"M","H",24,"Miscellaneous Other Violations","F","182(A)(1)PC","CONSPIRACY TO COMMIT ANY CRIME","100 N  LOS ANGELES                  ST","","(34.0515, -118.2424)"
5299559,"2018-05-01",1000,10,"West Valley",1011,47,"F","W",23,"Moving Traffic Violations","M","40508(A)VC","FTA/TRAFFIC WARRANT","TAMPA                        AV","SATICOY","(34.2084, -118.5535)"
5299566,"2018-05-01",920,12,"77th Street",1258,31,"M","H",2,"Rape","M","288A(B)1PC","ORAL COPULATION W/PERSON UNDER 18 YRS","7600 S  BROADWAY","","(33.9708, -118.2783)"
5299571,"2018-05-01",820,14,"Pacific",1412,41,"M","W",24,"Miscellaneous Other Violations","M","853.7PC","FTA AFTER WRITTEN PROMISE","WAVE CREST","OCEAN FRONT                  WK","(33.9898, -118.4756)"
5299579,"2018-05-01",1115,17,"Devonshire",1717,17,"M","H",16,"Narcotic Drug Laws","F","11359HS","POSSESSION MARIJUANA FOR SALE","11200    GOTHIC                       AV","","(34.2738, -118.4887)"
5299582,"2018-05-01",930,18,"Southeast",1823,12,"M","H",8,"Other Assaults","F","422(A)PC","TERRORIZE CAUSING FEAR","200 E  CENTURY                      BL","","(33.9456, -118.2717)"
5299586,"2018-05-01",1020,14,"Pacific",1415,24,"F","W",6,"Larceny","M","484(A)PC","GRAND THEFT (OVER $400)","LINCOLN                      BL","FLOWER                       ST","(34.0008, -118.4667)"
5299599,"2018-05-01",1220,14,"Pacific",1415,39,"M","B",8,"Other Assaults","M","243(A)PC","BATTERY ON PERSON","1400    LINCOLN                      BL","","(33.9978, -118.4605)"
5299614,"2018-05-01",1200,5,"Harbor",509,3,"M","H",NA,"","O","300(B)WIC","","1600    LOMITA                       BL","","(33.7978, -118.3043)"
5299619,"2018-05-01",1050,12,"77th Street",1213,21,"F","H",4,"Aggravated Assault","F","245(A)(2)PC","ADW W/FIREARM","SLAUSON                      AV","WESTERN                      AV","(33.9892, -118.3089)"
5299623,"2018-05-01",1345,9,"Van Nuys",935,37,"F","H",22,"Driving Under Influence","M","23152(B)VC","DRUNK DRIVING .10 OR ABOVE","14400    ERWIN                        ST","","(34.1837, -118.4465)"
5299627,"2018-05-01",1350,12,"77th Street",1258,20,"M","H",10,"Fraud/Embezzlement","M","4461(C)VC","MISUSE DISABLED PERSON PLACARD","7600 S  BROADWAY","","(33.9708, -118.2783)"
5299594,"2018-05-01",1128,17,"Devonshire",1774,17,"M","H",4,"Aggravated Assault","M","243.6PC","BATT ON SCHL EMPLOYEE/RETALIATION W/INJ","9600    ZELZAH                       AV","","(34.2428, -118.5253)"
5299609,"2018-05-01",1130,15,"N Hollywood",1567,62,"M","B",3,"Robbery","F","211PC","ROBBERY","4300    LANKERSHIM                   BL","","(34.1481, -118.3644)"
5299553,"2018-05-01",250,10,"West Valley",1021,22,"M","W",2,"Rape","F","261(A)(2)PC","RAPE BY FORCE/FEAR","19400    VANOWEN                      ST","","(34.1939, -118.556)"
5299593,"2018-05-01",845,11,"Northeast",1172,39,"M","H",8,"Other Assaults","F","422(A)PC","TERRORIZE CAUSING FEAR","1300    SILVERLAKE                   BL","","(34.0882, -118.2646)"
5299629,"2018-05-01",930,1,"Central",166,42,"M","B",16,"Narcotic Drug Laws","F","11351HS","POSSESS/PURCHASE CONTROLLED SUBS FOR SALE","600 S  SAN PEDRO","","(34.0421, -118.2469)"
5299596,"2018-05-01",1045,12,"77th Street",1258,22,"M","H",12,"Weapon (carry/poss)","F","25850(A)PC","CARRY LOADED F/ARM PRSON/HEH PUBLIC PLACE","7600 S  BROADWAY","","(33.9708, -118.2783)"
5299595,"2018-05-01",1000,18,"Southeast",1881,31,"F","B",4,"Aggravated Assault","F","245(A)(1)PC","ADW, NOT FIREARM, W/GBI","16000 S  FIGUEROA                     ST","","(33.8887, -118.287)"
5299635,"2018-05-01",1300,14,"Pacific",1494,34,"M","B",23,"Moving Traffic Violations","M","14601.1AVC","DRIVE W/LIC SUSPEND/REVOKE 4 OTHER REASON","500    WORLD WAY","","(33.9428, -118.4054)"
5299636,"2018-05-01",1205,13,"Newton",1367,22,"F","H",24,"Miscellaneous Other Violations","M","166(C)(1)PC","VIOL DOMESTIC VIOL PROTECT/STAY AWAY ORD","5200    COMPTON                      AV","","(33.9957, -118.2478)"
5299643,"2018-05-01",1105,13,"Newton",1372,46,"M","B",24,"Miscellaneous Other Violations","F","3455(B)1PC","WARRANT-PETITION TO REVOKE COMMUNITY SUPVN","5800 S  SAN PEDRO                    ST","","(33.9898, -118.2701)"
5299651,"2018-05-01",1430,9,"Van Nuys",935,32,"M","H",4,"Aggravated Assault","M","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","14400    ERWIN                        ST","","(34.1837, -118.4465)"
5299655,"2018-05-01",1220,14,"Pacific",1494,53,"M","W",12,"Weapon (carry/poss)","M","171.5(B)PC","POSSESS A KNIFE/FIREARM ETC: IN AIRPORT","500    WORLD WAY","","(33.9428, -118.4054)"
5299659,"2018-05-01",1220,10,"West Valley",1008,35,"M","H",24,"Miscellaneous Other Violations","F","3056PC","VIOLATION OF PAROLE:FELONY","BALBOA                       PL","VAN NUYS","(34.2077, -118.4912)"
5299687,"2018-05-01",1230,3,"Southwest",341,14,"M","H",24,"Miscellaneous Other Violations","M","594(B)2APC","DEFACE/DAMAGE PROPERTY <$400","RODEO                        RD","CLYDE                        ST","(34.0216, -118.3692)"
5299688,"2018-05-01",1410,2,"Rampart",266,45,"M","H",24,"Miscellaneous Other Violations","F","3455(B)1PC","WARRANT-PETITION TO REVOKE COMMUNITY SUPVN","UNION                        ST","7TH                          ST","(34.0531, -118.2717)"
5299689,"2018-05-01",1338,9,"Van Nuys",935,58,"M","B",4,"Aggravated Assault","M","273.5(A)PC","CORPORAL INJURY ON SPOUSE/COHABITANT/ETC","6200    SYLMAR                       AV","","(34.1827, -118.4465)"
5299697,"2018-05-01",1130,3,"Southwest",325,33,"M","H",23,"Moving Traffic Violations","M","12500(A)VC","UNLICENSED DRIVER","VERMONT","27TH                         ST","(34.0304, -118.2915)"
5299700,"2018-05-01",1430,17,"Devonshire",1752,15,"M","B",8,"Other Assaults","M","243(B)PC","BATTERY ON PO/EMERGENCY PERSONNEL W/O INJ","10000    LURLINE                      AV","","(34.2536, -118.5913)"
5299708,"2018-05-01",1425,1,"Central",119,24,"M","B",24,"Miscellaneous Other Violations","M","602(K)PC","TRESPASSING LANDS UNDER CULTIVATION","800 N  ALAMEDA                      ST","","(34.0563, -118.2374)"
5299712,"2018-05-01",1405,14,"Pacific",1431,49,"M","W",24,"Miscellaneous Other Violations","M","10852VC","TAMPER W/VEHICLE","PACIFIC","WASHINGTON","(33.988, -118.4703)"
5299639,"2018-05-01",930,1,"Central",166,40,"F","B",16,"Narcotic Drug Laws","F","11351HS","POSSESS/PURCHASE CONTROLLED SUBS FOR SALE","6TH                          ST","SAN JULIAN                   ST","(34.0428, -118.2461)"
5299641,"2018-05-01",1325,6,"Hollywood",666,54,"F","W",16,"Narcotic Drug Laws","M","11377(A)HS","POSSESSION CONTROLLED SUBSTANCE","1300 N  WILCOX                       AV","","(34.0944, -118.331)"
5299670,"2018-05-01",1200,9,"Van Nuys",926,27,"M","H",7,"Vehicle Theft","F","10851(A)VC","TAKE VEHICLE W/O OWNER'S CONSENT","VANOWEN                      ST","SYLMAR","(34.1939, -118.4487)"
5299658,"2018-05-01",1145,4,"Hollenbeck",455,37,"M","H",8,"Other Assaults","F","422(A)PC","TERRORIZE CAUSING FEAR","200 N  SOTO                         ST","","(34.0512, -118.2093)"
